epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5443.57,1.08697,0.55381,1.02116,0.85456,0.8326,0.8708,0.62326,1.01978,0.4326,1.01136,0.000240644,0.000240644,0.000240644
86,5506.83,1.08581,0.54656,1.02073,0.85637,0.83408,0.875,0.62839,1.01958,0.43128,1.01021,0.000226497,0.000226497,0.000226497
87,5568.97,1.08255,0.54492,1.01781,0.86191,0.84444,0.88079,0.63304,1.01738,0.42937,1.00972,0.000212349,0.000212349,0.000212349
88,5630.95,1.07116,0.5355,1.01736,0.84723,0.85159,0.88362,0.63459,1.01574,0.42761,1.00931,0.000198202,0.000198202,0.000198202
89,5693.26,1.08415,0.54965,1.02047,0.86822,0.84112,0.88344,0.6347,1.01198,0.4281,1.00778,0.000184055,0.000184055,0.000184055
90,5754.92,1.08252,0.5495,1.02385,0.87275,0.84386,0.88784,0.64322,1.01105,0.42559,1.00692,0.000169908,0.000169908,0.000169908
91,5924.17,1.07358,0.48365,1.02389,0.88144,0.84509,0.88978,0.64264,1.01274,0.42725,1.00743,0.000155761,0.000155761,0.000155761
92,5991.61,1.06567,0.47226,1.02156,0.87269,0.84781,0.89097,0.64367,1.0095,0.4243,1.00608,0.000141614,0.000141614,0.000141614
93,6053,1.06257,0.46671,1.02218,0.88402,0.84648,0.89407,0.64955,1.00578,0.4231,1.00542,0.000127467,0.000127467,0.000127467
94,6114.4,1.05211,0.46499,1.01733,0.87681,0.85494,0.89611,0.64982,1.00339,0.42034,1.00406,0.00011332,0.00011332,0.00011332
95,6175.06,1.05038,0.45945,1.01503,0.86929,0.85708,0.89728,0.65252,0.99958,0.41917,1.00267,9.91726e-05,9.91726e-05,9.91726e-05
96,6237.63,1.04685,0.45843,1.01255,0.87297,0.85548,0.89932,0.65639,0.99613,0.41708,1.00154,8.50255e-05,8.50255e-05,8.50255e-05
97,6298.97,1.04848,0.45731,1.01602,0.8853,0.86026,0.90554,0.6623,0.99444,0.4156,1.00111,7.08784e-05,7.08784e-05,7.08784e-05
98,6360.18,1.03749,0.4549,1.01003,0.8883,0.85637,0.90585,0.66283,0.99279,0.41543,1.00026,5.67313e-05,5.67313e-05,5.67313e-05
99,6421.63,1.0384,0.45194,1.01038,0.88916,0.85586,0.90706,0.66572,0.99076,0.41409,0.99973,4.25842e-05,4.25842e-05,4.25842e-05
100,6482.68,1.03477,0.45062,1.00694,0.89617,0.85545,0.90806,0.66651,0.98987,0.41379,0.99886,2.84371e-05,2.84371e-05,2.84371e-05
